ACCOUNT_ID,ACCOUNT_NM,ACCOUNT_TYP_NM,CHURN_RSK_IND,CHURN_PROBABILITY,TERRITORY_SGMNT_NM,HAS_CMD_LINE,HAS_POWER_AUTOMATE,HAS_IMPORT_API,HAS_NATIVE_CONNECTOR,INTEGRATION_STATUS
0011O000022HgKY,Finext Performance Management,Customer,Low,0.12,Intl,TRUE,TRUE,TRUE,,established integration method
0011O00001yoC81,Friendship Public Charter School,Customer,High,0.57,MM,TRUE,,,,established integration method
0011O00001zxNZC,VillageReach,Customer,Medium,0.02,MM,TRUE,,TRUE,TRUE,established integration method
0015Y00003LZ5Uv,Jinx,Customer,High,1,SMB,,,,TRUE,established integration method
0011400001s5DPp,"RGL Holdings, Inc.",Customer,Low,0.02,MM,,,,TRUE,established integration method
0015Y00002ZuywQ,"Kuvare US Holdings, Inc",Customer,Low,0.01,FINS,,,TRUE,,established integration method
0011O00001ylHzH,"Beacon PT Company, LLC (DBA: Beacon Trust Company)",Customer,Low,0.07,SUB,,,,,flat file or unidentified method
0011O00002AK30r,Trustonic Limited,Customer,Low,0.52,UK,,,,,flat file or unidentified method
0011O00001zwYRW,Brilliant Corners,Customer,Medium,0.17,MM,,,,TRUE,established integration method
0011O00001yoCy7,Institute of Scrap Recycling Industries Inc,Customer,High,0.61,SMB,,,,TRUE,established integration method
0015Y00002xEZ39,Life Ambulance Network,Customer,Low,0,MM,,,,TRUE,established integration method
0011O00002Mln0O,"Hillwood Energy, L.P by HW Energy Investments, LLC its general partner and Hillwood International Energy, L.P. by:  Hillwood International Energy GP, LLC, its general partner",Customer,Medium,0,MM,,,,,flat file or unidentified method
001a000001NAZJ2,The Beacon Mutual Insurance Company,Customer,Medium,0.22,FINS,TRUE,,,,established integration method
0013000000qHwiB,Otter Tail Corporation,Customer,Low,0.01,ENT,TRUE,,,,established integration method
0011O00002D2CGR,ampliFI Loyalty Solutions,Customer,Medium,0.03,FINS,,,,TRUE,established integration method
0011O000022JgN9,"Relation Insurance, Inc.",Customer,Churning,0.43,SUB,,,,,flat file or unidentified method
0015Y00002Zv2k8,New You Bariatric Group LLC,Customer,Medium,0.27,MM,TRUE,,,TRUE,established integration method
0011O000024zQX5,KHQ Inc.,Customer,Low,0.06,MM,,,,,flat file or unidentified method
0015Y00006Idudw,Kingsley Management,Customer,Medium,0.19,CAN,,,,,flat file or unidentified method
0011400001s5E92,The Boelter Companies,Customer,Low,0.01,MM,,,TRUE,,established integration method
001a000001PZugS,Heritage Health Solutions Inc,Customer,Low,0,SMB,,,,TRUE,established integration method
0011O00002Dgcm0,Rocky Mountain Prep,Customer,Low,,MM,,,,,flat file or unidentified method
0015Y00004txzve,DDL Investments Inc DBA. Homefront Brands,Customer,Churning,,SMB,,,,TRUE,established integration method
0011O00001wdgDq,noosa yoghurt,Customer,High,0.56,MM,,TRUE,,,established integration method
0011400001kgqPj,Plug Power Inc.,Customer,High,0.17,ENT,TRUE,,,,established integration method
0011400001eefvg,George Fox University,Customer,Low,0.02,MM,TRUE,,,,established integration method
0011400001pYQM5,Safestore Self Storage,Customer,Medium,0.11,UK,,,,,flat file or unidentified method
001OO00000AejiD,The UNC at Chapel Hill - Kenan Institute of Private Enterprise,Customer,Low,0.13,ENT,,,,,flat file or unidentified method
0015Y00002oCeID,Select Hardware,Former Customer,Churning,,UK,,,TRUE,,established integration method
0015Y000069vnjA,Oddball,Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0015Y00002tEPM8,Zufall Health,Customer,High,,MM,,,,,flat file or unidentified method
0015Y00003O7jUB,Proclivity Systems,Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0011400001qyHTg,EmployBridge,Former Customer,Medium,,MM,,,,,flat file or unidentified method
0011400001fLevc,"Nutanix, Inc.",Former Customer,Churning,,ENT,TRUE,,TRUE,TRUE,established integration method
0015Y00004OFAojQAH,American Conservation Experience,Customer,Low,,ENT,,,,,flat file or unidentified method
001OO00000PCKUT,Ideon Technologies,Customer,Low,,CAN,TRUE,,,TRUE,established integration method
0011O000027CFNh,"PSI Control Solutions, Inc",Former Customer,Churning,,SMB,TRUE,,,,established integration method
0011400001e30sm,"Xcenda, LLC.",Former Customer,Churning,,MM,TRUE,,,,established integration method
001OO00000alh3EYAQ,Active Refrigeration Group,Customer,Low,,Intl,,,,,flat file or unidentified method
0011400001cjU0DAAU,"Acelero Learning, Inc.",Customer,Low,,ENT,TRUE,,,TRUE,established integration method
0015Y00002Zu9W0,Mercy Housing and Shelter Corporation,Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0011O00002OLvli,Memphis Health Center Inc,Former Customer,High,,MM,,,,,flat file or unidentified method
0011O00001xS4Sb,Clio,Former Customer,Churning,,CAN,,,,,flat file or unidentified method
0015Y00002chnng,Repare Therapeutics,Former Customer,Churning,,CAN,,,,,flat file or unidentified method
0011400001il6YT,Edge Therapeutics,Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0011O000027BnY1,CTS Cement Manufacturing Corporation,Customer,Medium,0.01,MM,,,TRUE,,established integration method
0011400001pYQcf,Redcentric,Customer,Medium,0.76,UK,,,,,flat file or unidentified method
0011O00002O3gbt,Cava Holding Company,Customer,Churning,0.87,ENT,TRUE,,,TRUE,established integration method
0015Y00002ZudZp,Heartland Computers Inc,Customer,Low,0.08,SMB,,,,,flat file or unidentified method
0011400001s5C6i,"inContact, Inc.",Customer,High,0.41,MM,,,,TRUE,established integration method
0015Y00002ZuzvW,"JAJ ENTERPRISES, LLC",Customer,Low,0.01,MM,TRUE,,TRUE,,established integration method
0015Y00004zjZYU,Sol-Ark,Customer,Churning,0.72,MM,,,,TRUE,established integration method
0011400001qzDFM,First Manhattan Co.,Customer,Low,0.51,FINS,,,,TRUE,established integration method
0011400001qz7ku,Equitrust Life Insurance Co. Inc.,Customer,Low,0,SUB,TRUE,,,,established integration method
0011400001s4wiF,"American Parkinson Disease Association , Inc.",Customer,Low,0.12,SMB,,,,TRUE,established integration method
0015Y00002yRWiX,LanzaJet,Customer,High,0.72,SMB,,,TRUE,TRUE,established integration method
0011400001s5Cp6,Oklahoma Blood Institute,Customer,Medium,0.02,MM,TRUE,,,,established integration method
0011400001qzDfi,Campbell Oil Company,Customer,Low,0,SUB,TRUE,,,,established integration method
0011400001qzKDf,"Tire Discounters, Inc.",Customer,Medium,0.01,ENT,TRUE,,,,established integration method
0011O0000250uO6,"Concept Plus, LLC",Customer,Low,0.01,MM,,,TRUE,,established integration method
001OO00000cmifOYAQ,The Business Bank,Customer,Low,,FINS,,,,,flat file or unidentified method
001OO00000B27aA,Metro Compactor Service,Former Customer,Churning,,SUB,,,,TRUE,established integration method
0011O00002VOvGZ,"Greystar Development Services, LLC",Former Customer,High,,ENT,,,,,flat file or unidentified method
0011400001ijtwq,Nexteer Automotive Corp.,Former Customer,Churning,,ENT,,,,,flat file or unidentified method
0011400001qzPU8,"Merrick Industries, Inc.",Former Customer,Churning,,MM,,,,,flat file or unidentified method
0015Y00005yhQWq,Medochemie Ltd,Customer,Low,,Intl,,TRUE,,,established integration method
0011400001s4xTF,Patra Corporation,Former Customer,High,,ENT,TRUE,TRUE,TRUE,TRUE,established integration method
0011400001s5E3Y,Global Excel Management Inc.,Former Customer,High,,CAN,,,,,flat file or unidentified method
0011O00001wdmWm,Jitasa,Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0011O00002LStko,SkySpecs,Former Customer,Churning,,MM,,,,TRUE,established integration method
0011400001qzADbAAM,Prince Rupert Port Authority,Customer,Low,,CAN,,,TRUE,TRUE,established integration method
001OO00000cquhzYAA,The Education People,Customer,Low,,UK,,,,,flat file or unidentified method
0011O00002OLlWJ,Hausmann Group,Former Customer,Churning,,FINS,,,,,flat file or unidentified method
001a000001UxmvL,Forestry Resources Inc.,Former Customer,High,,SMB,TRUE,,,,established integration method
0011O00002Ht9HF,VisualDx,Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0011O00002DQiWT,"Place Services, Inc.",Former Customer,Churning,,MM,TRUE,,,,established integration method
0015Y00002lxJVV,SecZetta,Former Customer,Churning,,SMB,,,,TRUE,established integration method
0011O000021LMig,Movable Ink,Former Customer,Low,,MM,,,,,flat file or unidentified method
0011400001udhAR,Karyopharm Therapeutics,Former Customer,Churning,,MM,,,,,flat file or unidentified method
0013000000qI0ai,R.G. Barry Corp.,Former Customer,Churning,,MM,,,,,flat file or unidentified method
0015Y00002yPksd,"Solaris Midstream Holdings, LLC",Customer,Churning,0.52,MM,,,,,flat file or unidentified method
0013000000qHwJ0,"Spok, Inc.",Customer,Low,0.81,MM,,,,TRUE,established integration method
0015Y00002tERAX,"GLOWC Chapter NYSARC, Inc.",Customer,Medium,0.09,SUB,,,,TRUE,established integration method
0011400001eefyj,Harrington Industrial Plastics LLC,Customer,Medium,0.02,SUB,,TRUE,TRUE,,established integration method
0015Y00002xFde8,College of Physiotherapists of Ontario,Customer,Churning,0.95,CAN,,,,TRUE,established integration method
0015Y00002tDOYY,WIN Waste Innovations Holdings Inc,Customer,Low,0.02,ENT,,,TRUE,,established integration method
0015Y00002tEQNn,Prime Healthcare Management Inc.,Customer,Low,0.04,ENT,,,,,flat file or unidentified method
0011400001eegiK,Urban Affairs Coalition and its subsidiaries,Customer,High,0.02,MM,,,,TRUE,established integration method
0015Y00002p7ARD,Ascensus Specialties LLC,Customer,Medium,0.02,MM,,TRUE,,,established integration method
0011O00002AO4OS,"AAA Western & Central New York, Inc.",Customer,Low,0,SUB,,TRUE,,TRUE,established integration method
0015Y00002tEQYq,Catholic Care Center,Customer,Low,0,MM,,,,TRUE,established integration method
0015Y00002Zv8O7,Southworth Development LLC,Customer,Medium,0.01,FINS,TRUE,,,,established integration method
0011O00002OLnjG,NorthLakes Community Clinic,Customer,Low,0.05,MM,,,,TRUE,established integration method
0011O0000250WhT,Clark County Water Reclamation District,Customer,Low,0.5,MM,,,TRUE,,established integration method
0011400001s4pwY,New Orleans Saints and Pelicans,Customer,Low,0.09,MM,TRUE,,,,established integration method
0015Y00004xrtm0,US Bitcoin Corp,Customer,High,0.02,SMB,,TRUE,,TRUE,established integration method
0011O00002GJEvl,Wells,Customer,Low,0.26,ENT,,,,,flat file or unidentified method
0011400001qzNOB,"American Society of Civil Engineers, The",Customer,Low,0.04,MM,,TRUE,,,established integration method
0011O000022Jsji,"United Methodist Retirement Homes, Inc.",Customer,Medium,0.91,MM,TRUE,,,,established integration method
0015Y00002Zu8By,"Karl Senner, LLC.",Customer,Medium,0.74,SMB,,,,TRUE,established integration method
0015Y00002ZwL8r,Galago Group,Customer,Low,0.19,UK,,,TRUE,,established integration method
001a000001PZtmQ,KIPP NYC,Customer,High,0.68,MM,,,,TRUE,established integration method
0011400001s5CHW,"Massachusetts Audubon Society, Inc.",Customer,Low,0.18,MM,,,TRUE,,established integration method
0011400001s4wjm,Armada,Customer,Low,0.1,MM,TRUE,,,,established integration method
0011O00002VPGDy,"UCS Holdings, Inc. d/b/a Valenz",Customer,Medium,0.03,MM,,,,TRUE,established integration method
0015Y00002tEPBl,Coastal Horizons Center,Customer,Low,0,MM,TRUE,,,,established integration method
0015Y00003Yo5Ec,Horizon Farm Credit,Customer,Medium,0.02,FINS,,,,,flat file or unidentified method
0011O00002GK9lm,Sopfeu,Customer,Low,,CAN,,,,TRUE,established integration method
0011O0000250YYF,Unite Us,Former Customer,Churning,,MM,,,,,flat file or unidentified method
0015Y00003O7tMa,IND,Customer,Low,,Intl,,,,,flat file or unidentified method
001a000001WTH6b,Think Together,Customer,Churning,0.1,MM,,,,TRUE,established integration method
0011400001pYSyT,Hamsard 2468 Limited,Customer,High,0,UK,,,,,flat file or unidentified method
001OO00000CqPtA,City of San Bruno,Customer,Low,0.08,MM,,,,,flat file or unidentified method
0015Y00002YYjnN,Masons Supply,Customer,High,0.15,MM,TRUE,,,,established integration method
0015Y00002tDOBs,"Voyager Technologies, Inc.",Customer,High,0.09,MM,,TRUE,TRUE,TRUE,established integration method
001OO000009QP7G,"Integra Testing Services, LLC",Customer,Low,0.08,MM,TRUE,,TRUE,,established integration method
0015Y00004T6IJX,Xpo Group bv,Customer,Low,,Intl,,,TRUE,,established integration method
0011O00002GJL4N,Productive Business Solutions Group Limited,Former Customer,Churning,,Intl,,,TRUE,,established integration method
0015Y00004rHvUi,"EMPARK APARCAMIENTOS Y SERVICIOS, S.A",Customer,High,,Intl,TRUE,,,,established integration method
0011400001eefsq,Trellix Inc,Former Customer,Churning,,SUB,TRUE,,,,established integration method
0011O00002Kuovz,Dr Smood Group,Former Customer,Churning,,SMB,,,,TRUE,established integration method
0013000000qI0Qd,"Nebraska Book Company, Inc.",Former Customer,Churning,,ENT,TRUE,,,,established integration method
0015Y00002yPpN6,Healthcare Chaos Management,Customer,Churning,,MM,,,,TRUE,established integration method
 0015Y00002Zv8Hx,,,,,,TRUE,,,,established integration method
0011400001s4xbA,Sanctuary Camelback Mountain,Customer,Low,,MM,,,,,flat file or unidentified method
0011O00001zxNfP,Kwik Lok Corp,Former Customer,High,,MM,,,,,flat file or unidentified method
0015Y00002ZvDKC,Bravas LLC,Customer,High,,MM,,,,,flat file or unidentified method
0015Y00002YZu1C,Three Notch'd Brewing,Former Customer,Churning,,SMB,TRUE,,,,established integration method
0011O00002GJLZ0,JumpStart Inc,Former Customer,Churning,,FINS,,,,TRUE,established integration method
0011400001s5Cin,New Sunshine LLC,Former Customer,Churning,,MM,TRUE,,,,established integration method
0013000000qHzoj,Callon Petroleum Company,Former Customer,High,,MM,,,,,flat file or unidentified method
0013000000qHxTL,"Bridgewater Associates, Inc.",Former Customer,Churning,,ENT,,,,,flat file or unidentified method
0011400001fNw0f,"X.L. Global Services, Inc.",Customer,Low,,Intl,,,,,flat file or unidentified method
0015Y00002ZuDtl,MariMed Inc,Customer,Low,,MM,,,,TRUE,established integration method
00130000014l2Nb,MCAN Financial Group,Former Customer,Churning,,CAN,,,,,flat file or unidentified method
001a000001Ru3r9,Saddle Creek Corporation,Former Customer,High,,ENT,,,,,flat file or unidentified method
0011O0000250lyTQAQ,Cool Beer Brewing Co,Customer,High,,CAN,,,,,flat file or unidentified method
001OO00000Fskrl,Stichting Stimuleringsfonds Creatieve Industrie,Customer,Low,,Intl,,,,,flat file or unidentified method
0011O000022IPjA,Polen Capital Management LLC,Customer,Medium,0,FINS,TRUE,TRUE,TRUE,,established integration method
0013000000qHuLf,Enova International Inc.,Customer,Medium,0.06,ENT,TRUE,TRUE,,,established integration method
0011400001qz8Um,Noco Inc.,Customer,Low,0.07,MM,,,TRUE,TRUE,established integration method
0011O00001xKhlt,Partners In Health,Customer,Low,0.03,ENT,TRUE,,TRUE,,established integration method
0015Y00004eChPb,What Do You Meme,Customer,Churning,1,SMB,,,,TRUE,established integration method
0011400001s4wuW,Coastal Villages Region Fund,Customer,Medium,0.09,MM,TRUE,TRUE,,,established integration method
0015Y00002ZuuVt,Kerioth Corporation,Customer,High,0.9,FINS,,TRUE,,TRUE,established integration method
0015Y00002Ybhll,Fisher German LLP,Customer,Medium,0.02,UK,,,TRUE,,established integration method
0011O00002Mj45g,Cruise Lines International Association,Customer,Low,0.54,SMB,,,,TRUE,established integration method
00130000011ZyVn,DCB Holding Ltd.,Customer,Medium,0.53,UK,TRUE,,,,established integration method
001a000001Lb77h,Caribou Coffee Company Inc,Customer,Medium,0.15,ENT,TRUE,TRUE,TRUE,,established integration method
0011400001pYRLn,SEGA Europe Limited,Customer,Low,0.06,UK,TRUE,TRUE,TRUE,,established integration method
0015Y00003YlBds,Commercial Tool Group,Customer,Low,0.22,MM,,TRUE,,,established integration method
0011400001qzB6n,"Cannon Design, Inc.",Customer,High,0.49,MM,,,TRUE,,established integration method
0011O00002UUknL,PRT Growing Services Ltd,Customer,Low,0,SUB,,,,,flat file or unidentified method
001OO00000MYjjf,"USA Water Intermediate Holdings, LLC",Customer,Low,0,SMB,,,,TRUE,established integration method
001a000001H0sW8,Douglas Dynamics LLC,Customer,Medium,0.29,ENT,TRUE,,,,established integration method
0011O00002PtHRv,KV Private Equity Inc,Former Customer,Churning,,CAN,TRUE,,,,established integration method
0011O000024yn6A,University of St. Augustine for Health Sciences,Former Customer,Churning,,MM,,,,TRUE,established integration method
0013000000qI0bb,Bayshore HealthCare Ltd.,Customer,Medium,0,CAN,TRUE,,TRUE,,established integration method
001OO00000D3rGS,Arctic Distribution,Customer,Low,0.06,SMB,,,,TRUE,established integration method
0015Y0000539ppD,"Hudson Link for Higher Education in Prison, Inc.",Customer,Medium,0.1,SMB,,,,TRUE,established integration method
001OO00000SCSYS,Evoque Group,Customer,High,0,SMB,,,,TRUE,established integration method
0011O00002SrPTH,Crescita Skin Sciences Inc.,Former Customer,Churning,,CAN,TRUE,,,,established integration method
001OO000002DIE7,IndiMade Brands,Customer,Medium,,SMB,,,,TRUE,established integration method
0011O00002GJBKrQAP,Capital Dynamics,Customer,Low,,Intl,,,TRUE,,established integration method
0011400001dPC5N,Federated Hermes Limited,Former Customer,High,,UK,,,,,flat file or unidentified method
0011400001eegbd,St. Ann's Community,Customer,Low,,MM,TRUE,,,,established integration method
0011400001hFDM6,United Record Pressing,Customer,Low,,MM,,,,,flat file or unidentified method
001OO00000Ento9,Condimentum,Customer,Low,,UK,,TRUE,,,established integration method
0011400001joJlm,Lakeshore Recycling Systems,Former Customer,Churning,,MM,,TRUE,,,established integration method
0011O00002OLq3BQAT,Wold Architects and Engineers,Customer,Low,,MM,,,,TRUE,established integration method
0015Y000049kxrq,David Roberts & Partners,Former Customer,Churning,,UK,,,,,flat file or unidentified method
0011O00002SYy1W,Extensiv,Former Customer,Churning,,SMB,,,,TRUE,established integration method
0011O00002FEo66,Iconex,Former Customer,Churning,,MM,,,,,flat file or unidentified method
0011O00001xRrqF,Symplicity Corporation,Former Customer,Churning,,MM,,,,,flat file or unidentified method
0015Y00002lx82Z,Lumu Technologies,Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0011O00001ylRjh,Pacific Catch,Former Customer,Churning,,MM,,,,,flat file or unidentified method
0015Y00004zhAyuQAE,Matrix Adhesives Group,Customer,Low,,SMB,,,,,flat file or unidentified method
0015Y00003O7t5S,DEME Dredging NV,Customer,Low,,Intl,,,TRUE,,established integration method
0015Y00002Zv910,"Forum Real Estate Group, LLC by Forum Management Inc, its manager",Customer,Low,,FINS,,,,,flat file or unidentified method
0011400001s4xWD,Alacrity Solutions (Property Damage Appraisers Inc),Former Customer,Churning,,SMB,TRUE,,,,established integration method
0015Y00004T5UdL,Gowan Seed Company,Former Customer,Churning,,SMB,,TRUE,,,established integration method
0015Y00002ZuFfx,Sagis PLLC,Customer,Low,,MM,,,,TRUE,established integration method
0015Y00003LYfxxQAD,CertainPath,Customer,Low,,SMB,,,TRUE,TRUE,established integration method
0011O00001xL11D,Acctiva Ltd.,Partner,,,UK,,,TRUE,,established integration method
0011400001efdOc,Intelligent Processing Solutions Limited,Customer,Low,,UK,,,,,flat file or unidentified method
0011400001oW68C,Dossche Mills B.V.,Customer,High,0.21,Intl,,,,,flat file or unidentified method
0015Y0000300Njc,Exro Technologies,Customer,High,0.92,CAN,,,,TRUE,established integration method
0013000000qHzO5,Taiga Building Products Ltd.,Customer,High,0.09,CAN,TRUE,,TRUE,,established integration method
0011O00002MigNE,Vaniam Group LLC,Customer,Low,0.06,MM,,,TRUE,TRUE,established integration method
001a000001RsdFf,Saint Mary's University,Customer,Low,0.01,CAN,TRUE,,,,established integration method
0015Y00002eGDkO,Enovert Management Limited,Customer,Medium,0.03,UK,,TRUE,TRUE,,established integration method
0011O00001xSiWP,TEEMA Group,Customer,High,0.19,CAN,TRUE,,,,established integration method
0011400001qz9mg,Pitco Foods,Customer,Low,0.22,MM,TRUE,,,,established integration method
0011400001s5CoU,Ocean Reef Club Inc,Customer,Low,0.06,MM,TRUE,,,,established integration method
0015Y000039L4xS,"National Registry of Emergency Medical Technicians, Inc",Customer,Low,0.35,SMB,,,,,flat file or unidentified method
0011O00002KuUYT,Treace Medical Concepts Inc.,Customer,Medium,0.22,MM,,,,TRUE,established integration method
0011O000022JkWD,Wag Hotels,Customer,Medium,0.24,MM,,,,TRUE,established integration method
0011400001qz6Vj,"Anda, Inc.",Customer,Low,0.12,MM,,,,,flat file or unidentified method
0011O00002A7TVI,"Immunome, Inc",Customer,High,0.32,MM,,,,TRUE,established integration method
0011400001qzGCG,"Sentinel Technologies, Inc.",Customer,Low,0,MM,,,,TRUE,established integration method
0015Y00002YbD2n,"ReCode Therapeutics, Inc.",Customer,Churning,1,MM,,,,TRUE,established integration method
0011O00002D3JwX,Innovative Product Achievements,Customer,Low,0,SUB,,,,TRUE,established integration method
0015Y00002p7AKU,DNP Imagingcmm America Corporation,Customer,Low,0.01,SMB,TRUE,,,,established integration method
0011400001fMmUl,ODOM Corporation,Customer,Medium,0,ENT,TRUE,,,,established integration method
0011400001qzMpE,Clarity Software Solutions Inc,Customer,Medium,0.07,MM,,,,TRUE,established integration method
0011400001lFz2O,"Education Development Center, Inc.",Customer,High,0.01,ENT,TRUE,TRUE,,,established integration method
0011400001oWLUR,"Professional Project Services, INC.",Customer,Low,0.48,MM,,,,,flat file or unidentified method
0011400001dNA9r,"Redpath Mining, Inc.",Customer,High,0.05,CAN,TRUE,,,,established integration method
001a000001JcOwo,Fruit Growers Supply Company,Customer,Medium,0,SUB,,TRUE,,,established integration method
0011O00002AlG31,C. C. Young,Customer,High,0,SMB,TRUE,TRUE,TRUE,,established integration method
0011O00002EsLQH,"Project Management Advisors, Inc.",Customer,Low,0,FINS,TRUE,,,,established integration method
001a000001NAZKv,MAU Workforce Solutions,Customer,Low,0.02,MM,TRUE,,,,established integration method
0011400001qz9wS,Neighborhood Reinvestment Corp.,Customer,Low,0.08,MM,,,,TRUE,established integration method
001OO000007YJCI,Spar Re Services LLC,Customer,Low,0.19,FINS,,,TRUE,TRUE,established integration method
001a000001XRwBe,Article Student Living LLC,Customer,Low,0.04,FINS,,,,,flat file or unidentified method
0011400001lHBlh,SA Hospitality Group,Customer,Medium,0.06,MM,,TRUE,,,established integration method
001a000001UxnX2,Lucky Eagle Casino,Former Customer,High,,MM,TRUE,,,,established integration method
0011O000022Gyxb,Shelton-Cook Real Estate Services,Former Customer,Churning,,FINS,,,,,flat file or unidentified method
0011O00002Hsojh,PerformLine,Former Customer,Churning,,SMB,,,,TRUE,established integration method
0011O00002XgUbu,Galiano Gold,Former Customer,Churning,,CAN,,,,,flat file or unidentified method
0011400001s4x08,Dovel Technologies,Former Customer,Churning,,MM,,TRUE,,,established integration method
0011400001qzMAaAAM,Minnesota Twins,Customer,Medium,,MM,,,,,flat file or unidentified method
0011O00002GJM1OQAX,Thrasher Family Holdings,Customer,Low,,MM,TRUE,,,TRUE,established integration method
001a000001QfBt1,"Waukesha-Pearce Industries, LLC",Customer,Low,,ENT,TRUE,,,,established integration method
0015Y00004OCWbq,Redeux Energy Partners LLC,Former Customer,Churning,,SMB,,,,TRUE,established integration method
0015Y00002xGDkCQAW,Hunt Military Communities,Customer,Low,,SUB,,,,,flat file or unidentified method
0011400001lGlGU,MC Assembly,Former Customer,Churning,,MM,,,,,flat file or unidentified method
001OO00000FHSDtYAP,Pace Group Holdings,Customer,Low,,UK,,,,,flat file or unidentified method
0011O0000241ydb,Cosmetic Solutions,Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0011O00001zwYHsQAM,Afiniti,Customer,Low,,ENT,,,,,flat file or unidentified method
0011O00002VNA62,Studio 1+1 (1plus1),Former Customer,Churning,,Intl,,,,,flat file or unidentified method
0015Y00002cjxTc,CISO Global,Former Customer,Churning,,MM,,,,,flat file or unidentified method
0011O000021LO0d,Banner Industries Inc,Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0011400001aCNfO,"Lifeline Scientific, Inc.",Former Customer,Churning,,SMB,TRUE,,,,established integration method
0011O000024yyhC,Axispoint Technology Solutions Group Inc. (ATSG),Former Customer,High,,MM,,,,,flat file or unidentified method
0015Y00002lxK8x,Loft Orbital,Former Customer,Churning,,SMB,,,,,flat file or unidentified method
0011O000022HwsA,Children's Tumor Foundation,Former Customer,Churning,,SMB,TRUE,,,,established integration method
0011O00001zwYLZ,Belmont Instrument LLC,Former Customer,Churning,,MM,,,,TRUE,established integration method
0015Y00002yRBwS,The Cardus Institute,Customer,Low,0.52,CAN,,,,TRUE,established integration method
0011O00002AO3MP,The Scion Group,Customer,Medium,0,ENT,TRUE,,,,established integration method
0011O00001ymKjZ,Office of the Commissioner of Baseball d/b/a Major League Baseball,Customer,High,0.66,ENT,TRUE,,,,established integration method
0011O000027BqL9,Mitsubishi Chemical America: Methacrylates,Customer,Medium,0.01,UK,,,TRUE,,established integration method
0011400001pYOiV,William Jackson Food Group,Customer,Low,0.02,UK,,TRUE,,,established integration method
0015Y000056gNr5,Legacy Service Partners,Customer,Medium,0,SMB,,TRUE,,TRUE,established integration method
0011O00002JTk6E,CPCS,Customer,Medium,0.08,CAN,,,TRUE,,established integration method
0011O000021L1bW,"Stem, Inc.",Customer,Low,0,MM,,,,TRUE,established integration method
0011O00001xRrgF,Symbiotics Group SA,Customer,Low,0.06,Intl,TRUE,,TRUE,TRUE,established integration method
